序號,地區別,縣市,觀光工廠名稱,地址,觀光工廠預約電話,網址
127,南部,台南市,臺灣菸酒股份有限公司善化啤酒廠,台南市善化區成功路2號,06-5838511#431,event.ttl-eshop.com.tw/sh/index.aspx
128,南部,台南市,臺灣菸酒股份有限公司隆田觀光酒廠,台南市官田區中華路一段335號,06-5791311#521,event.ttl-eshop.com.tw/lt/
129,南部,台南市,麗豐微酵館,台南市官田區二鎮里工業路48號,0800-882-789,www.microfer.com.tw
130,南部,高雄市,FLOMO富樂夢橡皮擦觀光工廠,高雄市湖內區中山路二段42號,07-6996173,www.flomo.com.tw/flomo/museum
131,南部,高雄市,台灣滷味博物館,高雄市岡山區本工一路25號,07-6229800,www.de-food.com.tw
132,南部,高雄市,宏裕行花枝丸館,高雄市前鎮區新生路240號,07-8111319,www.hongyu-food.com.tw/
133,南部,高雄市,珍芳烏魚子見學工廠,高雄市前鎮區新衙路296巷81弄13號,07-8227488,www.a-ten588.com.tw
134,南部,高雄市,紅頂穀創穀物文創樂園,高雄市左營區民族一路709號,07-3460333,www.redbarn709.com
135,南部,高雄市,彪琥台灣鞋故事館,高雄市三民區民族一路335巷43-1號,07-3892246#109,www.puhu.com.tw
136,南部,高雄市,裕賀牛??工廠,高雄市燕巢區大仁路68號,07-6151606,www.beefschool.com.tw
137,南部,屏東縣,天明製藥農科觀光藥廠,屏東縣長治鄉德和村神農路3號,08-7629666,www.tcmm.com.tw
138,南部,屏東縣,萬寶祿酵素品牌文化館,屏東縣長治鄉德和村神農路17號,08-7624988,www.onepower.com.tw
139,南部,屏東縣,臺灣菸酒股份有限公司屏東觀光酒廠,屏東縣內埔鄉建國路34號,08-7781640,event.ttl-eshop.com.tw/pt/
140,南部,屏東縣,鮮饌道海洋食品文化館,屏東縣林邊鄉成功路122號,08-8752229,www.jyfood.com.tw
141,東部,台東縣,池上鄉農會觀光工廠金色豐收館,台東縣池上鄉新興村7鄰85-6號,089-865936,csfa.org.tw/
142,東部,花蓮縣,香又香便當調查局,花蓮縣花蓮市美工路15號,03-8228111,www.canmorer.com/demo/bandang/
143,東部,花蓮縣,臺灣菸酒股份有限公司花蓮觀光酒廠,花蓮市美工路6號,03-8222130,event.ttl-eshop.com.tw/hl/
144,離島,金門縣,陳金福號貢糖觀光工廠,金門縣金城鎮東門里伯玉路一段90號,082-321414,www.km321414.com.tw
,,,,,,
,,,,,,
